stop_id,latitude,longitude,ons,offs
99999,,,368,714
100004,33.752636,-84.417763,82,3
100006,33.751251,-84.417763,61,1
100008,33.750145,-84.417732,35,12
100010,33.749363,-84.41774,19,41
100012,33.746685,-84.417801,7,138
100014,33.745586,-84.417786,354,82
100016,33.744255,-84.416588,18,30
100017,33.744305,-84.415497,3,1
100022,33.744724,-84.417206,36,9
100024,33.749023,-84.417336,11,98
100026,33.750629,-84.417274,6,11
100028,33.752026,-84.41732,25,22
100030,33.749264,-84.416016,3,111
100032,33.749237,-84.416809,2,8
100035,33.748924,-84.41777,23,36
100038,33.748981,-84.420273,38,2
100040,33.74892,-84.421692,233,42
100042,33.749088,-84.423134,26,24
100043,33.749271,-84.421722,11,129
100044,33.749191,-84.416046,37,19
100045,33.749161,-84.420464,12,43
100046,33.753429,-84.417328,6,233
100048,33.754524,-84.417343,0,173
100050,33.753689,-84.432091,157,8
100052,33.753548,-84.429794,257,10
100054,33.753445,-84.428177,285,8
100058,33.748932,-84.426353,123,5
100060,33.749077,-84.426353,14,12
100061,33.747532,-84.426613,219,25
100062,33.747425,-84.426987,15,11
100063,33.747154,-84.427994,4,1
100064,33.74733,-84.427879,24,3
100065,33.747349,-84.428772,8,1
100066,33.747192,-84.429146,78,2
100067,33.747364,-84.430916,23,52
100068,33.747242,-84.431259,46,3
100069,33.747379,-84.432098,6,0
100070,33.74728,-84.432648,19,0
100072,33.747334,-84.433228,4,1
100074,33.742268,-84.418137,62,36
100076,33.742294,-84.420334,92,269
100078,33.742287,-84.422523,0,4
100080,33.742287,-84.423462,30,10
100082,33.742378,-84.425133,15,8
100084,33.742371,-84.430481,21,8
100086,33.742336,-84.432297,38,19
100088,33.742172,-84.430405,212,39
100090,33.742264,-84.428856,248,43
100092,33.742245,-84.427139,410,33
100094,33.742256,-84.424805,192,15
100096,33.742214,-84.423363,217,36
100098,33.742168,-84.422714,32,117
100100,33.741463,-84.420486,29,3
100102,33.742378,-84.428787,45,8
100114,33.745316,-84.41729,204,77
100115,33.746342,-84.417336,11,143
100124,33.753647,-84.429588,60,25
100126,33.753513,-84.428001,37,19
100128,33.753445,-84.426521,104,3
100130,33.753517,-84.426491,5,6
100132,33.753841,-84.424965,6,1
100134,33.753895,-84.425011,0,4
100136,33.754395,-84.423828,134,10
100137,33.754707,-84.419937,33,214
100138,33.754433,-84.423889,31,14
100142,33.754784,-84.420273,21,19
100148,33.753822,-84.431839,88,23
100150,33.753841,-84.433273,59,14
100152,33.748905,-84.425545,153,7
100154,33.749077,-84.425301,10,10
100156,33.748913,-84.4245,242,12
100158,33.749088,-84.424225,60,47
100160,33.748913,-84.423424,169,28
100162,33.749191,-84.419426,1,0
100164,33.754745,-84.421318,46,9
100166,33.742317,-84.426765,49,20
100168,33.749073,-84.418167,1,3
100170,33.74744,-84.434654,30,5
101002,33.744114,-84.414177,32,37
101004,33.743195,-84.41433,2,23
101006,33.74334,-84.413773,23,124
101008,33.744457,-84.415237,1,11
101010,33.749214,-84.399712,6,17
101014,33.748913,-84.404427,23,71
101016,33.749184,-84.406517,11,62
101018,33.749313,-84.407761,6,191
101020,33.749359,-84.409508,0,4
101022,33.749367,-84.411072,13,60
101024,33.749557,-84.412598,1,669
101026,33.749458,-84.414268,0,16
101030,33.748085,-84.401161,20,195
101031,33.748051,-84.401443,42,10
101032,33.748592,-84.402473,77,37
101036,33.74902,-84.406578,9,0
101038,33.749146,-84.407845,8,4
101040,33.749191,-84.409325,0,1
101042,33.749191,-84.410652,96,16
101044,33.749168,-84.413086,63,80
101046,33.749146,-84.414597,13,2
101069,33.754677,-84.41774,67,435
101080,33.754608,-84.405518,6,1
101092,33.746006,-84.399132,0,20
101096,33.745983,-84.398949,7,4
101098,33.7453,-84.400551,7,100
101100,33.74522,-84.400497,42,11
101104,33.744049,-84.403198,2,22
101108,33.741486,-84.402939,72,433
101110,33.744045,-84.402908,7,3
101126,33.748894,-84.399712,66,1
101130,33.75465,-84.407219,2,10
101133,33.754761,-84.415009,123,166
101134,33.754738,-84.411697,0,4
101135,33.748055,-84.405151,2,1
101139,33.754608,-84.414398,84,182
101144,33.754505,-84.410248,38,28
101150,33.754581,-84.40287,14,19
101156,33.753929,-84.402847,144,15
101157,33.752899,-84.402847,40,14
101160,33.751923,-84.402786,4,9
101162,33.750866,-84.403252,59,13
101166,33.750679,-84.403214,4,14
101168,33.754673,-84.412827,9,14
101446,33.754536,-84.411522,8,7
101448,33.754738,-84.40992,2,40
101460,33.7435,-84.403908,47,14
101464,33.754738,-84.412628,1,19
101466,33.754761,-84.417389,38,20
101468,33.744606,-84.414345,12,369
102004,33.752689,-84.393181,296,885
102005,33.746876,-84.385773,73,4
102006,33.746841,-84.383934,20,12
102007,33.746834,-84.381561,78,58
102009,33.746799,-84.379128,33,52
102011,33.745663,-84.379326,71,224
102012,33.744606,-84.379333,14,83
102022,33.750862,-84.393044,0,71
102026,33.747204,-84.394371,26,139
102028,33.748089,-84.393684,22,44
102030,33.749451,-84.392776,11,20
102032,33.751595,-84.391068,24,0
102040,33.754448,-84.386459,1,7
102042,33.753105,-84.387573,6,145
102044,33.7523,-84.386452,4,149
102046,33.751431,-84.384949,30,756
102051,33.750645,-84.384232,0,127
102052,33.742931,-84.394539,6,486
102053,33.74202,-84.394547,7,24
102054,33.742565,-84.393341,32,75
102056,33.747414,-84.392334,26,136
102058,33.748341,-84.391502,67,11
102060,33.749382,-84.390724,7,77
102062,33.751411,-84.390747,10,265
102070,33.751732,-84.393127,0,92
102074,33.750584,-84.39518,53,4
102078,33.750225,-84.397636,2,98
102108,33.749493,-84.396034,4,0
102109,33.748463,-84.396851,43,5
102110,33.743069,-84.398384,1,6
102112,33.741989,-84.398376,0,68
102124,33.755508,-84.382256,11,70
102132,33.747116,-84.387726,1,2
102148,33.750294,-84.391907,42,79
102150,33.748219,-84.388123,136,93
102152,33.750042,-84.38839,94,1631
102156,33.751938,-84.39183,9,1028
102170,33.751541,-84.385666,48,17
102172,33.749798,-84.380318,55,51
102173,33.750599,-84.384285,202,68
102174,33.749893,-84.382912,5,392
102178,33.754539,-84.384193,19,10
102180,33.754513,-84.386169,28,46
102210,33.750439,-84.396072,0,66
102214,33.750278,-84.395294,2,28
102218,33.748745,-84.396385,69,2213
102222,33.743099,-84.398064,84,6
102224,33.741692,-84.398117,39,12
102226,33.754993,-84.390656,1639,63
102228,33.753597,-84.38858,460,62
102236,33.753361,-84.391991,2510,5343
102248,33.753181,-84.39135,4976,5135
102252,33.7416,-84.387733,186,138
102253,33.746315,-84.387665,18,91
102254,33.755737,-84.387779,5,585
102258,33.753506,-84.391975,4671,8971
102262,33.74963,-84.390686,26,120
102270,33.753139,-84.392181,9171,7688
102274,33.753811,-84.392418,6909,11560
102282,33.752281,-84.386604,6,16
102284,33.755596,-84.382614,39,19
102289,33.754017,-84.392418,2565,2846
102292,33.753944,-84.392624,597,164
102294,33.752548,-84.393593,21,100
102296,33.751385,-84.394394,3,108
102298,33.755585,-84.387627,45,49
102308,33.75425,-84.389771,131,16
102310,33.754601,-84.389633,10,406
102316,33.753521,-84.381279,16,66
102512,33.751911,-84.382996,159,745
102518,33.752998,-84.381905,72,169
102526,33.752716,-84.379623,1,2
102530,33.749744,-84.381088,16,6
102532,33.747383,-84.397705,10,122
102534,33.750916,-84.393188,12,1
102542,33.749763,-84.385437,774,358
102544,33.744606,-84.394524,1,15
102546,33.743984,-84.393219,4,8
102554,33.749165,-84.398125,6,8
102558,33.755524,-84.384018,20,18
103022,33.746895,-84.381348,55,103
103024,33.746941,-84.383751,15,4
103026,33.746964,-84.386345,3,37
103032,33.752674,-84.374245,0,1
103034,33.750721,-84.373634,0,4
103052,33.75547,-84.379959,14,78
103060,33.755852,-84.372078,120,94
103062,33.755554,-84.37693,7,1
103083,33.745529,-84.37925,78,29
103084,33.746735,-84.379166,9,27
103090,33.746696,-84.365608,8,14
103092,33.746696,-84.366531,104,19
103094,33.746624,-84.365227,4,14
103095,33.746811,-84.368019,57,74
103097,33.746601,-84.366959,51,45
103098,33.74667,-84.368141,51,153
103100,33.746685,-84.369713,0,11
103101,33.746696,-84.371414,1,5
103104,33.746731,-84.372528,3,14
103108,33.74968,-84.379738,34,22
