stop_id,latitude,longitude,ons,offs
99999,,,348,891
100004,33.752636,-84.417763,121,16
100006,33.751251,-84.417763,39,32
100008,33.750145,-84.417732,15,14
100010,33.749363,-84.41774,53,60
100012,33.746685,-84.417801,16,78
100014,33.745586,-84.417786,93,190
100016,33.744255,-84.416588,21,34
100017,33.744305,-84.415497,19,0
100022,33.744724,-84.417206,40,46
100024,33.749023,-84.417336,8,51
100026,33.750629,-84.417274,9,81
100028,33.752026,-84.41732,1,49
100030,33.749264,-84.416016,0,71
100032,33.749237,-84.416809,12,49
100035,33.748924,-84.41777,20,31
100036,33.748959,-84.419167,1,1
100038,33.748981,-84.420273,17,2
100040,33.74892,-84.421692,79,26
100042,33.749088,-84.423134,16,193
100043,33.749271,-84.421722,24,150
100044,33.749191,-84.416046,202,11
100045,33.749161,-84.420464,1,63
100046,33.753429,-84.417328,1,48
100048,33.754524,-84.417343,0,270
100050,33.753689,-84.432091,78,79
100052,33.753548,-84.429794,117,30
100054,33.753445,-84.428177,57,55
100058,33.748932,-84.426353,39,26
100060,33.749077,-84.426353,9,88
100061,33.747532,-84.426613,47,31
100062,33.747425,-84.426987,7,170
100063,33.747154,-84.427994,2,11
100064,33.74733,-84.427879,2,55
100065,33.747349,-84.428772,1,23
100066,33.747192,-84.429146,9,10
100067,33.747364,-84.430916,10,71
100068,33.747242,-84.431259,17,5
100069,33.747379,-84.432098,2,27
100070,33.74728,-84.432648,4,11
100071,33.747406,-84.433189,0,14
100072,33.747334,-84.433228,0,4
100074,33.742268,-84.418137,101,128
100076,33.742294,-84.420334,90,130
100078,33.742287,-84.422523,6,33
100080,33.742287,-84.423462,29,80
100082,33.742378,-84.425133,16,122
100084,33.742371,-84.430481,18,89
100086,33.742336,-84.432297,26,70
100088,33.742172,-84.430405,28,23
100090,33.742264,-84.428856,37,28
100092,33.742245,-84.427139,49,56
100094,33.742256,-84.424805,43,17
100096,33.742214,-84.423363,69,38
100098,33.742168,-84.422714,14,16
100100,33.741463,-84.420486,2,3
100102,33.742378,-84.428787,25,182
100114,33.745316,-84.41729,62,214
100115,33.746342,-84.417336,44,101
100124,33.753647,-84.429588,25,280
100126,33.753513,-84.428001,29,294
100128,33.753445,-84.426521,25,12
100130,33.753517,-84.426491,7,121
100132,33.753841,-84.424965,4,7
100134,33.753895,-84.425011,3,3
100136,33.754395,-84.423828,46,43
100137,33.754707,-84.419937,32,19
100138,33.754433,-84.423889,24,125
100142,33.754784,-84.420273,88,27
100148,33.753822,-84.431839,29,191
100150,33.753841,-84.433273,22,143
100152,33.748905,-84.425545,41,26
100154,33.749077,-84.425301,9,78
100156,33.748913,-84.4245,39,23
100158,33.749088,-84.424225,7,170
100160,33.748913,-84.423424,45,12
100162,33.749191,-84.419426,0,8
100164,33.754745,-84.421318,28,14
100166,33.742317,-84.426765,37,250
100168,33.749073,-84.418167,14,30
100170,33.74744,-84.434654,15,113
101002,33.744114,-84.414177,85,28
101004,33.743195,-84.41433,131,3
101006,33.74334,-84.413773,49,12
101008,33.744457,-84.415237,2,2
101010,33.749214,-84.399712,13,38
101014,33.748913,-84.404427,36,76
101016,33.749184,-84.406517,15,74
101018,33.749313,-84.407761,0,7
101020,33.749359,-84.409508,0,3
101022,33.749367,-84.411072,3,107
101024,33.749557,-84.412598,20,138
101026,33.749458,-84.414268,3,42
101030,33.748085,-84.401161,35,292
101031,33.748051,-84.401443,44,32
101032,33.748592,-84.402473,31,37
101036,33.74902,-84.406578,7,18
101038,33.749146,-84.407845,14,4
101040,33.749191,-84.409325,1,1
101042,33.749191,-84.410652,43,27
101044,33.749168,-84.413086,723,13
101046,33.749146,-84.414597,14,2
101069,33.754677,-84.41774,61,220
101080,33.754608,-84.405518,5,19
101092,33.746006,-84.399132,4,6
101096,33.745983,-84.398949,37,11
101098,33.7453,-84.400551,23,45
101100,33.74522,-84.400497,49,5
101104,33.744049,-84.403198,19,115
101108,33.741486,-84.402939,143,808
101110,33.744045,-84.402908,10,9
101126,33.748894,-84.399712,159,9
101130,33.75465,-84.407219,1,11
101133,33.754761,-84.415009,928,762
101134,33.754738,-84.411697,14,48
101135,33.748055,-84.405151,4,0
101139,33.754608,-84.414398,358,337
101144,33.754505,-84.410248,63,16
101150,33.754581,-84.40287,8,11
101156,33.753929,-84.402847,68,44
101157,33.752899,-84.402847,43,43
101160,33.751923,-84.402786,6,31
101162,33.750866,-84.403252,7,24
101166,33.750679,-84.403214,14,122
101168,33.754673,-84.412827,30,7
101446,33.754536,-84.411522,9,19
101448,33.754738,-84.40992,20,47
101460,33.7435,-84.403908,36,20
101464,33.754738,-84.412628,10,52
101466,33.754761,-84.417389,350,147
101468,33.744606,-84.414345,39,33
102004,33.752689,-84.393181,611,255
102005,33.746876,-84.385773,38,59
102006,33.746841,-84.383934,137,116
102007,33.746834,-84.381561,85,79
102009,33.746799,-84.379128,19,18
102011,33.745663,-84.379326,59,123
102012,33.744606,-84.379333,30,88
102022,33.750862,-84.393044,0,56
102026,33.747204,-84.394371,59,198
102028,33.748089,-84.393684,26,34
102030,33.749451,-84.392776,32,38
102032,33.751595,-84.391068,214,3
102040,33.754448,-84.386459,0,5
102042,33.753105,-84.387573,14,87
102044,33.7523,-84.386452,9,42
102046,33.751431,-84.384949,28,283
102051,33.750645,-84.384232,11,334
102052,33.742931,-84.394539,23,62
102053,33.74202,-84.394547,18,40
102054,33.742565,-84.393341,38,9
102056,33.747414,-84.392334,14,86
102058,33.748341,-84.391502,41,18
102060,33.749382,-84.390724,112,44
